api,sh_lat,sh_lon,county,well_name,well_number,operator,well_symbol,well_status,well_type
3507323964,35.9843734,-97.8694346,KINGFISHER,MEIER A 1,1,EIGHT ROUND CORPORATION,OIL-P & A,P & A,OIL
3507323913,35.861019,-98.1833624,KINGFISHER,BIEHLER 3,3,DEVON,OIL-INACTIVE PRODUCER,INACTIVE PRODUCER,OIL
3507323856,35.7340139,-97.8456105,KINGFISHER,HENRICHS 33-6,33-6,DLB ENERGY,OIL-P & A,P & A,OIL
3507323832,36.041658,-97.7764761,KINGFISHER,NELSON 2-18,2-18,AC OIL & GAS,OIL-INACTIVE PRODUCER,INACTIVE PRODUCER,OIL
3507323823,36.1404904,-97.9504702,KINGFISHER,AETNA-GORTON 1,1,PREMIER OPERATING CO,OIL-P & A,P & A,OIL
3507321823,36.0787211,-97.7485673,KINGFISHER,HICKEY 1,1,SPELLER OIL CORPORATION,OIL-PRODUCING,PRODUCING,OIL
3507321818,35.9720553,-97.9945293,KINGFISHER,BOECKMAN A-1,A-1,EXPAND ENERGY,OIL-P & A,P & A,OIL
3507321802,35.9579956,-97.8387021,KINGFISHER,COLEMAN 2,2,BEARD OIL CO.,OIL-P & A,P & A,OIL
3507321783,36.0311131,-98.0128873,KINGFISHER,ANNA 13-1,13-1,TEXAS EXPLOR & DRILLING CO INC,OIL-P & A,P & A,OIL
3507321764,36.032066,-98.1439429,KINGFISHER,HILL D 2,2,CONTINENTAL RESOURCES,SWD-P & A,P & A,SWD
3507321738,36.0198855,-98.2038056,KINGFISHER,WEBER /19/ 1,1,RODMAN CORP THE,OIL-P & A,P & A,OIL
3507321713,35.8953375,-97.7830737,KINGFISHER,WILLMS 2,2,MACH NATURAL RESOURCES LP,OIL-P & A,P & A,OIL
3507320306,36.0132196,-97.8567928,KINGFISHER,BEADLE 1,1,BROWN & BORELLI INC,OIL-P & A,P & A,OIL
3507320304,35.9543337,-97.8248009,KINGFISHER,L.N.U. (KATHLEEN-JACK ) 122-1,122-1,MACH NATURAL RESOURCES LP,OIL-INACTIVE COMPLETED,INACTIVE COMPLETED,OIL
3507320274,35.9688405,-97.8520923,KINGFISHER,MARION BARBER 1,1,WORRALL ENGRG,OIL-P & A,P & A,OIL
3507320272,35.8074832,-97.8143839,KINGFISHER,TOLLEFSON 1,1,WORRALL ENGRG,OIL-P & A,P & A,OIL
3507320246,35.9614412,-97.6962193,KINGFISHER,GRAFF UNIT 1,1,KIRKPATRICK RONALD B,OIL-P & A,P & A,OIL
3507320244,35.9400795,-97.6917786,KINGFISHER,YENZER 1,1,BUCK DRLG & EXPL CO,OIL-P & A,P & A,OIL
3507320229,35.9688405,-97.8431732,KINGFISHER,GILBERT 1,1,BROWN & BORELLI INC,OIL-P & A,P & A,OIL
3507320622,36.0125351,-98.1194438,KINGFISHER,OLLIE 25-1,25-1,FPCO OIL & GAS CO.,OIL-P & A,P & A,OIL
3507320606,35.91484,-97.9901259,KINGFISHER,FOX 30-1,30-1,WHITE SHIELD OIL & GAS C,OIL-P & A,P & A,OIL
3507320582,36.1283593,-98.1375954,KINGFISHER,WHITE 14-1,14-1,FPCO OIL & GAS CO.,OIL-P & A,P & A,OIL
3507320574,36.1294585,-97.9638677,KINGFISHER,POWELL D-4,D-4,SORRELS J R DBA CHEYENNE OIL PROPERTIES,OIL-P & A,P & A,OIL
3507320571,36.0233763,-98.1283782,KINGFISHER,WEHRENBERG 1-23,1-23,CONTINENTAL RESOURCES,OIL-P & A,P & A,OIL
3507320570,36.1499502,-98.128829,KINGFISHER,STURGEON 2-1,2-1,WHITE SHIELD OIL & GAS C,OIL-P & A,P & A,OIL
3507320569,36.0957708,-98.1191848,KINGFISHER,ROMHILD 25-1,25-1,KINGFISHER CSG PULLR & CON INC,OIL-P & A,P & A,OIL
3507323784,35.7278073,-97.8720088,KINGFISHER,MCCARTHY 1,1,CARMEN FIELD LP,GAS-P & A,P & A,GAS
3507323744,35.7606086,-97.9215938,KINGFISHER,BRUEGGEN 23-1,23-1,BRG ENERGY INC,OIL-P & A,P & A,OIL
3507323737,35.7929917,-97.8061132,KINGFISHER,HOPKINS 11-1,11-1,BRG ENERGY INC,OIL-P & A,P & A,OIL
3507323730,35.9075768,-98.0434879,KINGFISHER,CATHY 1-34,1-34,GENIE OIL & GAS CORPORATION,OIL-P & A,P & A,OIL
3507323691,36.1278189,-97.7880052,KINGFISHER,OLIVER 1-13,1-13,DOMINION OK TX E & P INC,OIL-P & A,P & A,OIL
3507323670,35.9145942,-97.6956159,KINGFISHER,LSEPMU (MILLER 2) 11-2,11-2,MACH NATURAL RESOURCES LP,OIL-INACTIVE PRODUCER,INACTIVE PRODUCER,OIL
3507323668,35.9003631,-98.1013133,KINGFISHER,SAUNDERS 1,1,LATCO ENERGY INC,GAS-P & A,P & A,GAS
3507321700,35.8503396,-97.8982262,KINGFISHER,VOGT UNIT 1,1,CRB RESOURCES INC,DRY HOLE-P & A,P & A,DRY HOLE
3507321687,35.9000709,-97.8475056,KINGFISHER,LACY 1,1,EIGHT ROUND CORPORATION,OIL-P & A,P & A,OIL
3507321686,35.8620014,-97.8230979,KINGFISHER,EMMERICH 2,2,MACKELLAR INC,OIL-P & A,P & A,OIL
3507321681,35.898404,-97.8366639,KINGFISHER,THEME /A/ 1,1,COTTON PETROLEUM CORP.,OIL-P & A,P & A,OIL
3507321671,35.7765109,-98.0440573,KINGFISHER,GRELLNER 1,1,SNEE & EBERLY,DRY HOLE-P & A,P & A,DRY HOLE
3507321670,35.9001166,-97.8649927,KINGFISHER,DALCO-WILLMS 2,2,DALCO EXPL,OIL-P & A,P & A,OIL
3507321659,36.0164661,-97.8167526,KINGFISHER,KUDLAC 2,2,STONE CREEK OPERATING LLC,OIL-INACTIVE COMPLETED,INACTIVE COMPLETED,OIL
3507320214,35.9620312,-97.8923688,KINGFISHER,VINCENT A 1,1,SENSOR OIL & GAS INC.,OIL-P & A,P & A,OIL
3507320209,36.1585794,-97.9729548,KINGFISHER,J K MCGEE 1,1,KENN CO SERV INC,OIL-P & A,P & A,OIL
3507320191,35.9469724,-97.696242,KINGFISHER,J B NORWOOD 1,1,WHEELER RICHARD JR,OIL-P & A,P & A,OIL
3507320181,36.146395,-98.1104261,KINGFISHER,W.E.HICKEY 1,1,KINGFISHER CSG PULLR & CON INC,OIL-P & A,P & A,OIL
3507320179,36.165072,-97.9192272,KINGFISHER,HOMIER 35-1,35-1,RODMAN CORP THE,OIL-P & A,P & A,OIL
3507320170,35.9724271,-97.7135693,KINGFISHER,HEDRICK-RATCLIFF 1,1,KIRKPATRICK OIL,OIL-P & A,P & A,OIL
3507320138,35.8545137,-97.76995,KINGFISHER,STMLSU (BERTIE PATTERSON #2) 21,21,"GREAT HORNED OWLS, LLC",OIL-INACTIVE COMPLETED,INACTIVE COMPLETED,OIL
3507323643,35.8147842,-97.8318558,KINGFISHER,JECH 2,2,TRIPLETT LARRY W,OIL-P & A,P & A,OIL
3507323638,36.0053065,-98.1015902,KINGFISHER,JUDY 3-30,3-30,GENIE OIL & GAS CORPORATION,OIL-P & A,P & A,OIL
3507323574,35.9509053,-97.6908022,KINGFISHER,MCVICKER 13-1,13-1,BYNG ENERGY GROUP INC,GAS-INACTIVE PRODUCER,INACTIVE PRODUCER,GAS
3507323564,36.1287065,-98.0848742,KINGFISHER,NORRIS 2-17,2-17,MUD OPERATIONS INC,OIL-P & A,P & A,OIL
3507323506,36.0630204,-97.7045901,KINGFISHER,SEDLAK 1,1,DOMINION OK TX E & P INC,OIL-P & A,P & A,OIL
3507323499,35.893573,-98.1115981,KINGFISHER,BOECKMAN 1-1,1-1,BLAIR OIL COMPANY,OIL-P & A,P & A,OIL
3507323484,35.9879165,-97.9682304,KINGFISHER,FIVER 1,1,WRIGHT JERRY L,GAS-P & A,P & A,GAS
3507320551,35.9836624,-98.1059159,KINGFISHER,MOSS 1-1,1-1,WHITE SHIELD OIL & GAS C,OIL-P & A,P & A,OIL
3507320524,36.1400821,-97.9992844,KINGFISHER,THRASHER 12-1,12-1,RANGE RESOURCES,GAS-P & A,P & A,GAS
3507320518,36.1474405,-97.9996965,KINGFISHER,T B HAGAR ET AL 1,1,MIDGARD ENERGY CO,OIL-P & A,P & A,OIL
3507320504,36.0673497,-97.7536257,KINGFISHER,A B CAIN /A/ 1,1,BUCK RICHARD D,OIL-P & A,P & A,OIL
3507320503,35.8256603,-97.7479535,KINGFISHER,WAGGENER /B/ 1,1,PAYNE W C FAMILY TRUST,GAS-P & A,P & A,GAS
3507320502,35.9509308,-97.8784446,KINGFISHER,EVELYN 2,2,EXPAND ENERGY,OIL-P & A,P & A,OIL
3507320489,35.9473794,-97.8744237,KINGFISHER,RUTH 1,1,SENSOR OIL & GAS INC.,DRY HOLE-P & A,P & A,DRY HOLE
3507321625,36.023691,-97.8030041,KINGFISHER,CROSSWHITE-DUNCAN 2,2,MERIDIAN OIL PRODUCTION INC.,OIL-P & A,P & A,OIL
3507321624,35.7654524,-98.0612163,KINGFISHER,MARGARET SCHAEFER 1,1,SHENANDOAH OIL CORP,GAS-P & A,P & A,GAS
3507321542,36.0997245,-97.7315611,KINGFISHER,HLADIK 1,1,BROOKS HALL OIL CORP,OIL-P & A,P & A,OIL
3507321524,35.9118617,-97.8709897,KINGFISHER,BOWMAN 2,2,KS-OIL,OIL-P & A,P & A,OIL
3507321521,35.8548335,-97.8566069,KINGFISHER,GRUNTMEIR 1,1,MACKELLAR INC,OIL-P & A,P & A,OIL
3507321514,36.0636992,-97.741258,KINGFISHER,STURGEON 1,1,PETROLEUM WASTE RECOVERY INC,OIL-P & A,P & A,OIL
3507321495,36.0959631,-97.7719522,KINGFISHER,VAVERKA /30/ 2,2,R & B TRUCKING,OIL-INACTIVE PRODUCER,INACTIVE PRODUCER,OIL
3507320136,36.0129723,-97.7362526,KINGFISHER,TEASLEY 1,1,RANGE RESOURCES,OIL-P & A,P & A,OIL
3507320112,35.9185367,-97.9457217,KINGFISHER,KRETCHMAR 1,1,BEARD OIL CO.,OIL-P & A,P & A,OIL
3507320109,36.0125259,-97.7626968,KINGFISHER,L.N.U.(LOVE 1) 4-1,4-1,MACH NATURAL RESOURCES LP,OIL-INACTIVE PRODUCER,INACTIVE PRODUCER,OIL
3507320098,35.8509431,-97.7831263,KINGFISHER,JIRIK ESTATE 2,2,DOMINION OK TX E & P INC,OIL-P & A,P & A,OIL
3507320076,35.8691005,-97.8054508,KINGFISHER,BENEDICT-HOWARD 1,1,DOMINION OK TX E & P INC,OIL-P & A,P & A,OIL
3507320050,35.9436805,-97.6782743,KINGFISHER,MC CLURE 1,1,PAYNE W C,OIL-P & A,P & A,OIL
3507320046,36.0025421,-97.8969625,KINGFISHER,VINCENT JAMES M 1,1,SENSOR OIL & GAS INC.,OIL-P & A,P & A,OIL
3507320486,36.1647092,-98.1155915,KINGFISHER,EDWIN NELSON UNIT 1,1,OCCIDENTAL,OIL-P & A,P & A,OIL
3507320475,36.0381373,-97.7633684,KINGFISHER,ELROD 1,1,BROWN & BORELLI INC,OIL-P & A,P & A,OIL
3507320472,35.7771286,-98.1308071,KINGFISHER,RUND 1,1,RAMSEY ENGINEERING,GAS-P & A,P & A,GAS
3507320459,36.0706875,-97.7589053,KINGFISHER,BURSCHIK 1-5,1-5,FLYNN ENERGY CORPORATION,OIL-P & A,P & A,OIL
3507320437,36.147078,-98.0399583,KINGFISHER,HAGER 3-1,3-1,WORRALL ENGRG,OIL-P & A,P & A,OIL
3507320427,36.1333112,-97.9774332,KINGFISHER,PATTERSON-B 1,1,FPCO OIL & GAS CO.,OIL-P & A,P & A,OIL
3507320418,36.1256476,-97.9994369,KINGFISHER,JULA-13 1,1,CONTINENTAL RESOURCES,OIL-P & A,P & A,OIL
3507323438,35.9729278,-98.1459564,KINGFISHER,GILL 1-3,1-3,E A PETROLEUM,OIL-P & A,P & A,OIL
3507323437,36.0097671,-97.8969626,KINGFISHER,LEWIS 1,1,EXPAND ENERGY,OIL-P & A,P & A,OIL
3507323430,35.9216053,-97.7097155,KINGFISHER,KINSLOW 1,1,MORGAN DAVE OIL,OIL-P & A,P & A,OIL
3507323398,36.1068983,-98.071217,KINGFISHER,STOTTS 1,1,L P ENERGY,OIL-P & A,P & A,OIL
