api,sh_lat,sh_lon,county,well_name,well_number,operator,well_symbol,well_status,well_type
3507300058,35.8292792,-97.7074756,KINGFISHER,JIRICK,#1,PHILLIPS & DELOZIER PTR,PLUGGED,PA,OIL
3507300059,35.9409465,-97.9461763,KINGFISHER,JOHN R PORTER,#1,TRIGG DRILLING COMPANY INC,PLUGGED,PA,DRY
3507300060,36.0340652,-98.1500739,KINGFISHER,GEIS,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,GAS
3507300062,35.8076625,-97.9701172,KINGFISHER,SNOW UNIT,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,GAS
3507300063,35.890974,-97.7341887,KINGFISHER,F BORELLI,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300064,35.869304,-97.81876,KINGFISHER,STEPHENS,#1,DIVERSIFIED PRODUCTION LLC,PLUGGED,PA,OIL
3507300065,35.847626,-97.690043,KINGFISHER,EARLENE (STADLER),#1,HENNESSEY OIL & GAS LLC,STATE_FUNDS_PLUGGING,STFD,DRY
3507300066,35.818529,-97.98347,KINGFISHER,JUSTIN VOGT,#1,CHESAPEAKE OPERATING LLC,PLUGGED,PA,GAS
3507300067,35.8185403,-97.9701192,KINGFISHER,SIOUX UNIT,#1,APACHE CORPORATION,PLUGGED,PA,NT
3507300068,35.8765121,-98.0235469,KINGFISHER,SANDER UNIT,#1,CRAWLEY PETROLEUM CORPORATION,PLUGGED,PA,OIL
3507300069,35.954447,-97.74453,KINGFISHER,LSEO(IVA PATRICK)1,#31-1,BCE-MACH III LLC,OIL,AC,OIL
3507300070,35.936425,-97.90496,KINGFISHER,HIGGINS,#1,MONTY L HOTT PRODUCTION CORPORATION,PLUGGED,PA,OIL
3507300071,35.9436776,-97.8960443,KINGFISHER,WROBBEL,#1,OKLAHOMA PLUGGING & EQUIP INC,PLUGGED,PA,OIL
